sample_name	treatment	tissue	plate	date
Chrom_40_2_h_B10 control head 40_2_h 8_8_22
Chrom_40_2_h_B11 control head 40_2_h 8_8_22
Chrom_40_2_h_B12 control head 40_2_h 8_8_22
Chrom_40_2_h_B2 control head 40_2_h 8_8_22
Chrom_40_2_h_B3 control head 40_2_h 8_8_22
Chrom_40_2_h_B4 control head 40_2_h 8_8_22
Chrom_40_2_h_B5 control head 40_2_h 8_8_22
Chrom_40_2_h_B6 control head 40_2_h 8_8_22
Chrom_40_2_h_B7 control head 40_2_h 8_8_22
Chrom_40_2_h_B8 control head 40_2_h 8_8_22
Chrom_40_2_h_B9 control head 40_2_h 8_8_22
Chrom_40_2_h_C1 control head 40_2_h 8_8_22
Chrom_40_2_h_C10 control head 40_2_h 8_8_22
Chrom_40_2_h_C11 control head 40_2_h 8_8_22
Chrom_40_2_h_C12 control head 40_2_h 8_8_22
Chrom_40_2_h_C2 control head 40_2_h 8_8_22
Chrom_40_2_h_C3 control head 40_2_h 8_8_22
Chrom_40_2_h_C4 control head 40_2_h 8_8_22
Chrom_40_2_h_C5 control head 40_2_h 8_8_22
Chrom_40_2_h_C6 control head 40_2_h 8_8_22
Chrom_40_2_h_C7 control head 40_2_h 8_8_22
Chrom_40_2_h_C8 control head 40_2_h 8_8_22
Chrom_40_2_h_C9 control head 40_2_h 8_8_22
Chrom_40_2_h_D1 control head 40_2_h 8_8_22
Chrom_40_2_h_D10 control head 40_2_h 8_8_22
Chrom_40_2_h_D11 control head 40_2_h 8_8_22
Chrom_40_2_h_D12 control head 40_2_h 8_8_22
Chrom_40_2_h_D2 control head 40_2_h 8_8_22
Chrom_40_2_h_D3 control head 40_2_h 8_8_22
Chrom_40_2_h_D4 control head 40_2_h 8_8_22
Chrom_40_2_h_D5 control head 40_2_h 8_8_22
Chrom_40_2_h_D6 control head 40_2_h 8_8_22
Chrom_40_2_h_D7 control head 40_2_h 8_8_22
Chrom_40_2_h_D8 control head 40_2_h 8_8_22
Chrom_40_2_h_D9 control head 40_2_h 8_8_22
Chrom_40_2_h_E1 control head 40_2_h 8_8_22
Chrom_40_2_h_E10 control head 40_2_h 8_8_22
Chrom_40_2_h_E11 control head 40_2_h 8_8_22
Chrom_40_2_h_E12 control head 40_2_h 8_8_22
Chrom_40_2_h_E2 control head 40_2_h 8_8_22
Chrom_40_2_h_E3 control head 40_2_h 8_8_22
Chrom_40_2_h_E4 control head 40_2_h 8_8_22
Chrom_40_2_h_E5 control head 40_2_h 8_8_22
Chrom_40_2_h_E6 control head 40_2_h 8_8_22
Chrom_40_2_h_E7 control head 40_2_h 8_8_22
Chrom_40_2_h_E8 control head 40_2_h 8_8_22
Chrom_40_2_h_E9 control head 40_2_h 8_8_22
Chrom_40_2_h_F1 control head 40_2_h 8_8_22
Chrom_40_2_h_F10 control head 40_2_h 8_8_22
Chrom_40_2_h_F11 control head 40_2_h 8_8_22
Chrom_40_2_h_F12 control head 40_2_h 8_8_22
Chrom_40_2_h_F2 control head 40_2_h 8_8_22
Chrom_40_2_h_F3 control head 40_2_h 8_8_22
Chrom_40_2_h_F4 control head 40_2_h 8_8_22
Chrom_40_2_h_F5 control head 40_2_h 8_8_22
Chrom_40_2_h_F6 control head 40_2_h 8_8_22
Chrom_40_2_h_F7 control head 40_2_h 8_8_22
Chrom_40_2_h_F8 control head 40_2_h 8_8_22
Chrom_40_2_h_F9 control head 40_2_h 8_8_22
Chrom_40_2_h_G1 control head 40_2_h 8_8_22
Chrom_40_2_h_G10 control head 40_2_h 8_8_22
